time,PS,TS,CLDPRS,Q250,lon,lat,TO3
2023-03-27 08:30:00,101619.16,277.5068,38241.418,8.257601e-05,-73.75,40.5,334.03076
2023-03-27 09:30:00,101650.09,277.35968,43999.805,8.520234e-05,-73.75,40.5,330.4894
2023-03-27 10:30:00,101671.12,277.23657,35967.914,8.7838605e-05,-73.75,40.5,328.6986
2023-03-27 11:30:00,101670.42,278.82895,34974.88,8.682805e-05,-73.75,40.5,328.14142
2023-03-27 12:30:00,101649.26,280.057,41102.965,7.2857656e-05,-73.75,40.5,330.56726
2023-03-27 13:30:00,101613.37,281.34518,46991.14,4.1406725e-05,-73.75,40.5,333.1245
2023-03-27 14:30:00,101554.55,282.47577,45359.44,2.6809214e-05,-73.75,40.5,333.1698
2023-03-27 15:30:00,101505.17,283.37186,47424.188,3.145605e-05,-73.75,40.5,332.5204
2023-03-27 16:30:00,101452.83,283.79248,,3.6133217e-05,-73.75,40.5,331.9935
2023-03-27 17:30:00,101409.766,283.87793,,3.5970694e-05,-73.75,40.5,331.20184
2023-03-27 18:30:00,101356.79,283.73804,62375.32,3.2219068e-05,-73.75,40.5,331.6918
2023-03-27 19:30:00,101276.96,282.99066,59495.434,3.0821095e-05,-73.75,40.5,332.58905
2023-03-27 20:30:00,101224.22,282.16385,53148.02,3.691197e-05,-73.75,40.5,332.27667
2023-03-27 21:30:00,101237.37,281.24045,50897.074,3.7219997e-05,-73.75,40.5,331.5767
2023-03-27 22:30:00,101227.05,280.44818,60705.266,3.1658714e-05,-73.75,40.5,333.1541
2023-03-27 23:30:00,101234.35,280.09863,66577.5,2.7133421e-05,-73.75,40.5,335.01697
2023-03-28 00:30:00,101292.8,279.9355,59732.883,2.564238e-05,-73.75,40.5,334.8047
2023-03-28 01:30:00,101388.73,279.60358,54981.4,2.542873e-05,-73.75,40.5,334.69965
2023-03-28 02:30:00,101396.34,279.20706,68996.914,2.4791063e-05,-73.75,40.5,337.01453
2023-03-28 03:30:00,101349.64,278.68655,75844.14,2.4137216e-05,-73.75,40.5,338.34662
2023-03-28 04:30:00,101392.63,278.66043,78267.08,2.4070578e-05,-73.75,40.5,336.75555
2023-03-28 05:30:00,101416.28,278.6058,79975.44,2.3943812e-05,-73.75,40.5,334.5281
2023-03-28 06:30:00,101413.87,278.6985,80614.96,2.5415755e-05,-73.75,40.5,333.57532
2023-03-28 07:30:00,101423.78,278.9703,80771.39,2.689095e-05,-73.75,40.5,332.74124
2023-03-28 08:30:00,101446.26,279.0662,80517.34,2.590074e-05,-73.75,40.5,331.40414
2023-03-28 09:30:00,101462.125,279.00546,80643.47,2.3254208e-05,-73.75,40.5,330.24884
2023-03-28 10:30:00,101493.09,278.8889,80131.41,2.1955757e-05,-73.75,40.5,328.89917
2023-03-28 11:30:00,101556.14,279.1988,78882.875,2.0158637e-05,-73.75,40.5,327.5847
2023-03-28 12:30:00,101635.84,279.44296,76836.195,1.9178144e-05,-73.75,40.5,327.1567
2023-03-28 13:30:00,101708.28,279.73615,74497.92,1.8710443e-05,-73.75,40.5,326.78125
2023-03-28 14:30:00,101742.3,280.30835,74274.25,1.7687038e-05,-73.75,40.5,328.2391
2023-03-28 15:30:00,101756.28,280.91855,75106.32,1.6971353e-05,-73.75,40.5,334.63425
2023-03-28 16:30:00,101780.35,281.31686,75237.99,1.6627999e-05,-73.75,40.5,342.67947
2023-03-28 17:30:00,101766.13,282.15054,76677.31,1.7416955e-05,-73.75,40.5,349.21774
2023-03-28 18:30:00,101730.625,282.2392,78315.78,1.7481303e-05,-73.75,40.5,354.5212
2023-03-28 19:30:00,101689.3,282.18716,77676.16,1.7603052e-05,-73.75,40.5,360.23013
2023-03-28 20:30:00,101681.445,281.96423,75820.45,1.7766242e-05,-73.75,40.5,369.04813
2023-03-28 21:30:00,101716.48,281.4336,75468.9,1.70752e-05,-73.75,40.5,378.84366
2023-03-28 22:30:00,101758.56,280.46927,74797.2,1.7017359e-05,-73.75,40.5,386.81305
2023-03-28 23:30:00,101806.47,279.36896,63062.492,1.6902732e-05,-73.75,40.5,393.29926
2023-03-29 00:30:00,101846.06,279.24905,69680.055,1.665e-05,-73.75,40.5,395.2019
2023-03-29 01:30:00,101878.97,278.865,76234.055,1.6238331e-05,-73.75,40.5,395.06458
2023-03-29 02:30:00,101894.555,278.81946,55788.547,1.5657917e-05,-73.75,40.5,395.68744
2023-03-29 03:30:00,101891.62,278.89032,37564.66,1.5298048e-05,-73.75,40.5,397.89648
2023-03-29 04:30:00,101834.51,278.75116,37789.152,1.5303003e-05,-73.75,40.5,402.7182
2023-03-29 05:30:00,101825.72,278.35544,33717.58,1.5772017e-05,-73.75,40.5,404.56702
2023-03-29 06:30:00,101861.97,278.27014,31677.713,1.5872043e-05,-73.75,40.5,405.3735
2023-03-29 07:30:00,101866.59,278.2358,33629.793,1.5188899e-05,-73.75,40.5,407.20273
2023-03-29 08:30:00,101889.58,278.11475,36732.91,1.4759155e-05,-73.75,40.5,410.02167
2023-03-29 09:30:00,101943.23,277.90958,42189.867,1.499614e-05,-73.75,40.5,412.18643
2023-03-29 10:30:00,102001.73,277.49786,47904.004,1.6563623e-05,-73.75,40.5,412.88776
2023-03-29 11:30:00,102057.2,278.36884,53228.594,1.8453993e-05,-73.75,40.5,410.18478
2023-03-29 12:30:00,102092.16,279.81042,,1.899572e-05,-73.75,40.5,402.40833
2023-03-29 13:30:00,102085.63,281.10168,,2.1474649e-05,-73.75,40.5,395.0366
2023-03-29 14:30:00,102081.29,282.24933,,2.2073404e-05,-73.75,40.5,389.5205
2023-03-29 15:30:00,102043.88,283.3626,,2.1074477e-05,-73.75,40.5,386.38058
2023-03-29 16:30:00,101971.46,284.25894,,2.0103873e-05,-73.75,40.5,385.69553
2023-03-29 17:30:00,101888.89,284.29712,,2.1041731e-05,-73.75,40.5,388.04623
2023-03-29 18:30:00,101826.63,283.80872,,2.3468541e-05,-73.75,40.5,390.34915
2023-03-29 19:30:00,101763.65,283.23053,28867.238,2.5119623e-05,-73.75,40.5,395.0951
2023-03-29 20:30:00,101719.414,282.47183,25491.45,2.5520541e-05,-73.75,40.5,402.6544
2023-03-29 21:30:00,101698.33,281.4947,31042.701,2.76465e-05,-73.75,40.5,407.97382
2023-03-29 22:30:00,101688.01,280.2388,53224.59,2.7048742e-05,-73.75,40.5,412.18738
2023-03-29 23:30:00,101675.375,279.31424,69721.28,2.6248466e-05,-73.75,40.5,419.96774
2023-03-30 00:30:00,101663.91,279.16043,67320.68,2.5954792e-05,-73.75,40.5,428.59534
2023-03-30 01:30:00,101621.47,279.10648,58824.43,2.4877312e-05,-73.75,40.5,435.31268
2023-03-30 02:30:00,101545.31,279.08105,53992.027,2.3429506e-05,-73.75,40.5,437.44812
2023-03-30 03:30:00,101482.86,279.05344,52056.2,2.3058743e-05,-73.75,40.5,437.52823
2023-03-30 04:30:00,101526.94,279.26355,54552.418,2.2571552e-05,-73.75,40.5,435.2196
2023-03-30 05:30:00,101681.2,279.07892,59014.375,2.3045384e-05,-73.75,40.5,432.11255
2023-03-30 06:30:00,101841.19,277.85397,68354.016,2.4310968e-05,-73.75,40.5,431.9424
2023-03-30 07:30:00,101981.12,277.08643,85917.49,2.6137684e-05,-73.75,40.5,436.49994
2023-03-30 08:30:00,102108.7,276.59262,91261.2,2.8132941e-05,-73.75,40.5,439.85406
2023-03-30 09:30:00,102233.29,276.28326,91080.37,2.7645918e-05,-73.75,40.5,440.85117
2023-03-30 10:30:00,102330.54,276.10928,90376.805,2.521051e-05,-73.75,40.5,441.9596
2023-03-30 11:30:00,102425.04,276.8103,88934.11,2.2621412e-05,-73.75,40.5,441.3141
2023-03-30 12:30:00,102491.46,277.86755,88905.016,2.0369711e-05,-73.75,40.5,437.38046
2023-03-30 13:30:00,102540.664,278.94232,88550.18,2.0429536e-05,-73.75,40.5,432.98297
2023-03-30 14:30:00,102571.02,279.96573,,2.1346852e-05,-73.75,40.5,428.41187
2023-03-30 15:30:00,102591.21,280.76288,,2.1301057e-05,-73.75,40.5,424.6336
2023-03-30 16:30:00,102574.16,281.29703,,2.0965963e-05,-73.75,40.5,422.2037
2023-03-30 17:30:00,102537.44,281.58987,,2.126169e-05,-73.75,40.5,419.81265
2023-03-30 18:30:00,102498.18,281.60135,,2.561133e-05,-73.75,40.5,419.00473
2023-03-30 19:30:00,102484.44,281.3222,,2.9438519e-05,-73.75,40.5,419.1643
2023-03-30 20:30:00,102485.93,280.81036,,2.8625283e-05,-73.75,40.5,420.84512
2023-03-30 21:30:00,102484.17,280.1054,,2.6422738e-05,-73.75,40.5,422.86386
2023-03-30 22:30:00,102509.984,278.89398,,2.239753e-05,-73.75,40.5,423.9063
2023-03-30 23:30:00,102543.23,277.49048,,2.0756375e-05,-73.75,40.5,422.33734
2023-03-31 00:30:00,102586.87,277.11145,,2.1570959e-05,-73.75,40.5,416.65604
2023-03-31 01:30:00,102611.36,276.76788,28924.89,3.323321e-05,-73.75,40.5,411.889
2023-03-31 02:30:00,102593.625,276.4821,33243.125,3.569806e-05,-73.75,40.5,406.2166
2023-03-31 03:30:00,102578.09,276.29678,34739.098,3.127961e-05,-73.75,40.5,399.2693
2023-03-31 04:30:00,102584.83,276.07672,37138.977,3.1395048e-05,-73.75,40.5,393.7919
2023-03-31 05:30:00,102659.34,275.94025,34242.977,3.255396e-05,-73.75,40.5,390.12408
2023-03-31 06:30:00,102688.63,276.64523,32651.877,3.5168123e-05,-73.75,40.5,385.72165
2023-03-31 07:30:00,102687.34,276.38242,29211.373,3.9470287e-05,-73.75,40.5,380.0801
2023-03-31 08:30:00,102682.03,276.75522,32201.56,4.2866926e-05,-73.75,40.5,376.2436
2023-03-31 09:30:00,102684.42,276.69763,37678.723,4.9263388e-05,-73.75,40.5,375.03226
2023-03-31 10:30:00,102677.38,276.73337,44167.355,5.7856494e-05,-73.75,40.5,373.6485
2023-03-31 11:30:00,102651.23,277.91162,43613.06,5.932776e-05,-73.75,40.5,371.9553
2023-03-31 12:30:00,102639.766,279.46402,22835.824,6.152623e-05,-73.75,40.5,370.89966
2023-03-31 13:30:00,102661.54,280.71573,21179.656,6.258448e-05,-73.75,40.5,368.42062
2023-03-31 14:30:00,102589.67,281.55255,20834.475,6.2544554e-05,-73.75,40.5,363.92776
2023-03-31 15:30:00,102483.84,281.49643,20831.271,6.233631e-05,-73.75,40.5,357.88898
2023-03-31 16:30:00,102391.33,281.38086,20831.031,6.302711e-05,-73.75,40.5,352.61127
2023-03-31 17:30:00,102288.164,281.04572,20830.512,6.592632e-05,-73.75,40.5,349.2901
2023-03-31 18:30:00,102143.48,280.82715,20829.236,6.948339e-05,-73.75,40.5,348.2806
2023-03-31 19:30:00,101939.1,280.8852,21382.207,6.815965e-05,-73.75,40.5,348.5306
2023-03-31 20:30:00,101750.3,281.5365,22459.826,7.1854665e-05,-73.75,40.5,347.09576
2023-03-31 21:30:00,101660.414,280.9299,20825.418,7.965978e-05,-73.75,40.5,340.80017
2023-03-31 22:30:00,101623.35,280.3157,20827.385,7.338603e-05,-73.75,40.5,338.30984
2023-03-31 23:30:00,101501.97,280.06842,19077.74,6.6425935e-05,-73.75,40.5,336.47803
2023-04-01 00:30:00,101417.625,280.3454,17693.473,7.4173775e-05,-73.75,40.5,335.0528
2023-04-01 01:30:00,101342.06,280.87,17693.588,7.77067e-05,-73.75,40.5,336.00153
2023-04-01 02:30:00,101255.79,281.118,18122.666,7.8177865e-05,-73.75,40.5,335.53903
2023-04-01 03:30:00,101153.1,281.29028,20638.371,7.6970326e-05,-73.75,40.5,334.12164
2023-04-01 04:30:00,101069.2,281.17917,20823.89,7.599578e-05,-73.75,40.5,332.4579
2023-04-01 05:30:00,101010.38,281.252,20820.963,7.8517325e-05,-73.75,40.5,328.3654
2023-04-01 06:30:00,100887.42,281.4845,20823.291,8.0487196e-05,-73.75,40.5,323.5213
2023-04-01 07:30:00,100687.5,281.5324,20282.293,7.9070145e-05,-73.75,40.5,319.00955
2023-04-01 08:30:00,100574.336,281.4632,18047.285,7.9110854e-05,-73.75,40.5,315.41293
2023-04-01 09:30:00,100558.195,281.54388,21301.398,8.116985e-05,-73.75,40.5,314.815
2023-04-01 10:30:00,100378.74,281.62152,18005.445,8.764264e-05,-73.75,40.5,311.26135
2023-04-01 11:30:00,100221.53,281.81366,20779.955,8.9366746e-05,-73.75,40.5,310.7478
2023-04-01 12:30:00,100111.914,282.05316,20147.764,8.771775e-05,-73.75,40.5,310.4823
2023-04-01 13:30:00,100035.516,282.54178,17693.633,9.002338e-05,-73.75,40.5,307.6668
2023-04-01 14:30:00,99927.43,283.65955,17692.773,9.4095056e-05,-73.75,40.5,305.40915
2023-04-01 15:30:00,99822.95,284.3912,17694.414,9.492404e-05,-73.75,40.5,303.7763
2023-04-01 16:30:00,99749.97,285.15924,17829.385,9.756623e-05,-73.75,40.5,304.03088
2023-04-01 17:30:00,99759.36,284.81738,19086.555,9.909051e-05,-73.75,40.5,304.55435
